a	b	c	d	e	f	g	M1	M2	M3	M4	S1	S2	Total
1	1	1	1	1	1	1	1	1	1	0	0	1	1
1	1	1	1	1	1	0	1	1	1	1	0	1	1
1	1	1	1	1	0	1	1	1	0	0	0	0	0
1	1	1	1	1	0	0	1	1	0	1	0	1	1
1	1	1	1	0	1	1	1	1	0	0	0	0	0
1	1	1	1	0	1	0	1	1	0	1	0	1	1
1	1	1	1	0	0	1	1	1	0	0	0	0	0
1	1	1	1	0	0	0	1	1	0	1	0	1	1
1	1	1	0	1	1	1	1	0	1	0	0	1	1
1	1	1	0	1	1	0	1	0	1	1	0	1	1
1	1	1	0	1	0	1	1	0	0	0	0	0	0
1	1	1	0	1	0	0	1	0	0	1	0	1	1
1	1	1	0	0	1	1	1	0	0	0	0	0	0
1	1	1	0	0	1	0	1	0	0	1	0	1	1
1	1	1	0	0	0	1	1	0	0	0	0	0	0
1	1	1	0	0	0	0	1	0	0	1	0	1	1
1	1	0	1	1	1	1	1	0	1	0	0	1	1
1	1	0	1	1	1	0	1	0	1	1	0	1	1
1	1	0	1	1	0	1	1	0	0	0	0	0	0
1	1	0	1	1	0	0	1	0	0	1	0	1	1
1	1	0	1	0	1	1	1	0	0	0	0	0	0
1	1	0	1	0	1	0	1	0	0	1	0	1	1
1	1	0	1	0	0	1	1	0	0	0	0	0	0
1	1	0	1	0	0	0	1	0	0	1	0	1	1
1	1	0	0	1	1	1	1	0	1	0	0	1	1
1	1	0	0	1	1	0	1	0	1	1	0	1	1
1	1	0	0	1	0	1	1	0	0	0	0	0	0
1	1	0	0	1	0	0	1	0	0	1	0	1	1
1	1	0	0	0	1	1	1	0	0	0	0	0	0
1	1	0	0	0	1	0	1	0	0	1	0	1	1
1	1	0	0	0	0	1	1	0	0	0	0	0	0
1	1	0	0	0	0	0	1	0	0	1	0	1	1
1	0	1	1	1	1	1	0	1	1	0	0	1	1
1	0	1	1	1	1	0	0	1	1	1	0	1	1
1	0	1	1	1	0	1	0	1	0	0	0	0	0
1	0	1	1	1	0	0	0	1	0	1	0	1	1
1	0	1	1	0	1	1	0	1	0	0	0	0	0
1	0	1	1	0	1	0	0	1	0	1	0	1	1
1	0	1	1	0	0	1	0	1	0	0	0	0	0
1	0	1	1	0	0	0	0	1	0	1	0	1	1
1	0	1	0	1	1	1	0	0	1	0	1	1	1
1	0	1	0	1	1	0	0	0	1	1	1	1	1
1	0	1	0	1	0	1	0	0	0	0	1	0	1
1	0	1	0	1	0	0	0	0	0	1	1	1	1
1	0	1	0	0	1	1	0	0	0	0	1	0	1
1	0	1	0	0	1	0	0	0	0	1	1	1	1
1	0	1	0	0	0	1	0	0	0	0	1	0	1
1	0	1	0	0	0	0	0	0	0	1	1	1	1
1	0	0	1	1	1	1	0	0	1	0	1	1	1
1	0	0	1	1	1	0	0	0	1	1	1	1	1
